Name,Party,State,District,Incumbent,Winner,Raised,Spent
Agnes Gibboney,R,CA,31,No,No,138687.0,127907.0
Grace Napolitano,D,CA,32,Yes,Yes,478426.0,251047.0
Joshua Scott,R,CA,32,No,No,23624.0,14248.0
Ted Lieu,D,CA,33,Yes,Yes,1661436.0,1582573.0
James Bradley,R,CA,33,No,No,78910.0,79035.0
Jimmy Gomez,D,CA,34,Yes,Yes,1401166.0,1268312.0
David Kim,D,CA,34,No,No,193430.0,80381.0
Norma Torres,D,CA,35,Yes,Yes,654727.0,664600.0
Mike Cargile,R,CA,35,No,No,36113.0,35915.0
Raul Ruiz,D,CA,36,Yes,Yes,2402624.0,1732443.0
Erin Cruz,R,CA,36,No,No,54217.0,53840.0
Karen Bass,D,CA,37,Yes,Yes,2216467.0,1202942.0
Errol Webber,R,CA,37,No,No,66398.0,174076.0
Linda Sanchez,D,CA,38,Yes,Yes,1246008.0,1140165.0
Gil Cisneros,D,CA,39,Yes,No,4370133.0,4350464.0
Young Kim,R,CA,39,No,Yes,6424556.0,6021651.0
Lucille Roybal-Allard,D,CA,40,Yes,Yes,739790.0,741379.0
Antonio Delgado,R,CA,40,No,No,85014.0,79270.0
Mark Takano,D,CA,41,Yes,Yes,1020456.0,949494.0
Aja Smith,R,CA,41,No,No,660658.0,659909.0
Ken Calvert,R,CA,42,Yes,Yes,1441812.0,1549113.0
Liam O'Mara,D,CA,42,No,No,130065.0,128782.0
Maxine Waters,D,CA,43,Yes,Yes,1836660.0,1906957.0
Joe Collins,R,CA,43,No,No,10556626.0,9921103.0
Nanette Barragan,D,CA,44,Yes,Yes,1173909.0,714023.0
Katie Porter,D,CA,45,Yes,Yes,16627706.0,6443700.0
Greg Raths,R,CA,45,No,No,1245767.0,1241713.0
Lou Correa,D,CA,46,Yes,Yes,1192715.0,650707.0
Alan Lowenthal,D,CA,47,Yes,Yes,678648.0,854902.0
John Briscoe,R,CA,47,No,No,25302.0,21538.0
Harley Rouda,D,CA,48,Yes,No,5968858.0,6174443.0
Michelle Steel,R,CA,48,No,Yes,6305665.0,6148591.0
Mike Levin,D,CA,49,Yes,Yes,3845768.0,2901566.0
Brian Maryott,R,CA,49,No,No,2810253.0,2808217.0
Darrell Issa,R,CA,50,No,Yes,11239670.0,10947106.0
Ammar Campa-Najjar,D,CA,50,No,No,6248210.0,6247762.0
Juan Vargas,D,CA,51,Yes,Yes,799734.0,801671.0
Juan Hidalgo,R,CA,51,No,No,83730.0,81182.0
Scott Peters,D,CA,52,Yes,Yes,1911791.0,2131849.0
James Debello,R,CA,52,No,No,233464.0,224630.0
Sara Jacobs,D,CA,53,No,Yes,7678363.0,7586186.0
Georgette Gomez,D,CA,53,No,No,1691794.0,1663252.0
Diana DeGette,D,CO,01,Yes,Yes,1201026.0,1077130.0
Joseph Neguse,D,CO,02,Yes,Yes,1353325.0,674602.0
Charles Winn,R,CO,02,No,No,98338.0,98338.0
Alex Johnson,I,CO,02,No,No,4782.0,4093.0
Diane Mitsch Bush,D,CO,03,No,No,5008274.0,4984238.0
Lauren Boebert,R,CO,03,No,Yes,2989510.0,2632716.0
Chris Milton,3,CO,03,No,No,12012.0,12012.0
Ken Buck,R,CO,04,Yes,Yes,478984.0,539393.0
Ike McCorkle,D,CO,04,No,No,369871.0,217398.0
Douglas L Lamborn,R,CO,05,Yes,Yes,540712.0,329011.0
Jillian Freeland,D,CO,05,No,No,185255.0,175548.0
Rebecca Keltie,3,CO,05,No,No,2552.0,1495.0
Jason Crow,D,CO,06,Yes,Yes,4136137.0,2892443.0
Steven House,R,CO,06,No,No,1200056.0,1198044.0
Jaimie Kulikowski,3,CO,06,No,No,72293.0,110645.0
Ed Perlmutter,D,CO,07,Yes,Yes,1632262.0,1339482.0
Casper Stockham,R,CO,07,No,No,147872.0,147872.0
Anthony Malgieri,I,CO,07,No,No,1930.0,1958.0
John Larson,D,CT,01,Yes,Yes,1377238.0,1323690.0
Mary Fay,R,CT,01,No,No,26836.0,25118.0
Joe Courtney,D,CT,02,Yes,Yes,964731.0,999360.0
Justin Anderson,R,CT,02,No,No,80227.0,78767.0
Rosa L DeLauro,D,CT,03,Yes,Yes,1938999.0,1795635.0
Margaret Streicker,R,CT,03,No,No,1839080.0,1835385.0
Justin Paglino,3,CT,03,No,No,29200.0,28670.0
Jim Himes,D,CT,04,Yes,Yes,1612935.0,2180029.0
Jonathan Riddle,R,CT,04,No,No,31591.0,17385.0
Jahana Hayes,D,CT,05,Yes,Yes,2037826.0,1564685.0
David Sullivan,R,CT,05,No,No,397395.0,397370.0
Lisa Blunt Rochester,D,DE,01,Yes,Yes,2024201.0,1305618.0
Lee Murphy,R,DE,01,No,No,131394.0,131862.0
Matthew Morris,R,DE,01,No,No,10070.0,10400.0
Catherine Purcell,I,DE,01,No,No,5344.0,5103.0
Matt Gaetz,R,FL,01,Yes,Yes,5946646.0,4482782.0
Phil Ehr,D,FL,01,No,No,2025099.0,1900451.0
Bert Oram,I,FL,01,No,No,8108.0,7070.0
