Name,Party,State,District,Incumbent,Winner,Raised,Spent
Brad Sherman,D,CA,30,Yes,Yes,"$1,513,374","$1,111,826"
Pete Aguilar,D,CA,31,Yes,Yes,"$2,475,748","$1,861,434"
Agnes Gibboney,R,CA,31,No,No,"$138,687","$127,907"
Grace Napolitano,D,CA,32,Yes,Yes,"$478,426","$251,047"
Joshua Scott,R,CA,32,No,No,"$23,624","$14,248"
Ted Lieu,D,CA,33,Yes,Yes,"$1,661,436","$1,582,573"
James Bradley,R,CA,33,No,No,"$78,910","$79,035"
Jimmy Gomez,D,CA,34,Yes,Yes,"$1,401,166","$1,268,312"
David Kim,D,CA,34,No,No,"$193,430","$80,381"
Norma Torres,D,CA,35,Yes,Yes,"$654,727","$664,600"
Mike Cargile,R,CA,35,No,No,"$36,113","$35,915"
Raul Ruiz,D,CA,36,Yes,Yes,"$2,402,624","$1,732,443"
Erin Cruz,R,CA,36,No,No,"$54,217","$53,840"
Karen Bass,D,CA,37,Yes,Yes,"$2,216,467","$1,202,942"
Errol Webber,R,CA,37,No,No,"$66,398","$174,076"
Linda Sanchez,D,CA,38,Yes,Yes,"$1,246,008","$1,140,165"
Gil Cisneros,D,CA,39,Yes,No,"$4,370,133","$4,350,464"
Young Kim,R,CA,39,No,Yes,"$6,424,556","$6,021,651"
Lucille Roybal,D,CA,40,Yes,Yes,"$739,790","$741,379"
Antonio Delgado,R,CA,40,No,No,"$85,014","$79,270"
Mark Takano,D,CA,41,Yes,Yes,"$1,020,456","$949,494"
Aja Smith,R,CA,41,No,No,"$660,658","$659,909"
